"TITLE FR";"TITLE UK";"CHAPO FR";"CHAPO UK";"DESCRIPTIF FR";"DESCRIPTIF UK";PHOTO;"FOLDERS UK"
"  Termes et conditions d'utilisation";"  Termes et conditions d'utilisation";;;"Les présentes conditions générales de vente s'appliquent à toutes les commandes électroniques ou téléphoniques passées par une personne physique ou morale, agissant en qualité de CLIENT auprès de la société Electro Hadj Kacem sur son site Internet qui est accessible à l’adresse https://electrohadjkacem.com/. Les Conditions Générales de Vente, peuvent être modifiées à tout moment par la SOCIÉTÉ Electro Hadj Kacem, et il appartient au CLIENT de les consulter et de les accepter formellement avant toute commande.   * PRIX DES PRODUITS : Les prix des produits sont valables tant qu'ils sont visibles sur le site et l’article est encore disponible en stock, et sont sous-entendus en Dinars Tunisien TND (toutes taxes comprises). Ces prix peuvent faire l’objet d’une modification (baisse ou augmentation) par la SOCIÉTÉ Electro Hadj Kacem.   * COMMANDE DES PRODUITS : La disponibilité des produits est affichée sur le site electrohadjkacem.com, sur chaque fiche produit. Si un produit est indisponible, la mention « En rupture de stock » sera affichée sur la fiche produit. Si postérieurement à votre commande un produit deviendrait indisponible, la société Electro Hadj Kacem vous informera par email de cette indisponibilité et vous donnera la possibilité de choisir entre : - vous faire livrer un produit d’une qualité et d’un prix équivalent à celui commandé antérieurement ; - annuler votre commande antérieure   * MODALITES DE PASSATION DES COMMANDES Pour passer une commande sur le site electrohadjkacem.com, les variantes suivantes sont possibles : - Via le site Internet electrohadjkacem.com 24/24h et 7/7j, sauf en cas d’indisponibilité du site Internet pour des raisons techniques. - Par téléphone (94.117.117) : de lundi à Samedi de 09h à 19h, excepté les jours fériés et les jours de fêtes religieuses. Toute commande adressée à https://electrohadjkacem.com/ par courrier ou par fax ne pourra être prise en compte.    * ENREGISTREMENT DES COMMANDES : Après avoir passé votre commande, la société Electro Hadj Kacem en accusera réception en vous adressant un email de Confirmation de Commande comprenant le récapitulatif de votre commande, puis, la validera définitivement après vous avoir appelé au téléphone sur le numéro fourni lors de votre Inscription pour une confirmation, dans un délai de 24h ouvrables.    * CONDITIONS GENERALES : La société Electro Hadj Kacem vous propose différents services de livraison directement à votre domicile, sur votre lieu de travail ou dans un point retrait, et ces livraisons s’effectuent exclusivement sur le territoire Tunisien.   * ABSENCE DU DESTINATAIRE A LA LIVRAISON : En cas d’absence du destinataire à la livraison, le service de Transport effectuera encore deux tentatives de livraison. Après trois tentatives infructueuses, la commande sera annulée. * DROITS DU CLIENT Pour toute réclamation ou information, le CLIENT peut s’adresser aux différents services de la société Electro Hadj Kacem - Service Clients : le service Clients du site internet de vente en ligne est joignable par téléphone 94.117.117 de lundi à samedi, de 09h à 19h, excepté les jours fériés, ou par e-mail à l’adresse suivante : electrohadjkacem@planet.tn - service après-vente : dans l’hypothèse d’une panne du produit acheté sur le site, vous pouvez joindre le SAV (service après-vente) ou par e-mail à l’adresse suivante : electrohadjkacem@planet.tn (exclusivement de sav)   * RESPONSABILITE La société Electro Hadj Kacem ne saurait être tenue pour responsable de l'inexécution d’une de ses obligations issues du contrat de vente dès lors que cette inexécution est liée à la survenance d'un événement de force majeure.   * LOI APPLICABLE L'exécution et l'interprétation des Conditions Générales de Vente sont régies par les lois de la République Tunisienne   * REGLEMENT DES DIFFERENDS Les Parties s'efforcent de résoudre à l'amiable tout différend auquel donnerait lieu le CONTRAT, tant en ce qui concerne sa validité, son exécution, son interprétation, sa résiliation qu'en ce qui en est la conséquence. Tout différend est dûment notifié par la Partie requérante à l'autre Partie en se référant expressément au présent Article, et les Parties disposent d'un délai de soixante (60) jours pour tenter de régler le différend à l'amiable, à compter de la date de réception de ladite notification. Tout différend et/ou litige de toute nature pouvant survenir à l’occasion de l’interprétation ou de l’exécution du CONTRAT et qui n’aurait pu être réglé à l’amiable sera soumis au tribunal de Tunis.   * MODIFICATION Les présentes Conditions Générales de Vente sont susceptibles d’être modifiées à tout moment par la SOCIETE Electro Hadj Kacem. Il vous appartient de les consulter et de les accepter formellement avant toute commande.";"Les présentes conditions générales de vente s'appliquent à toutes les commandes électroniques ou téléphoniques passées par une personne physique ou morale, agissant en qualité de CLIENT auprès de la société Electro Hadj Kacem sur son site Internet qui est accessible à l’adresse https://electrohadjkacem.com/. Les Conditions Générales de Vente, peuvent être modifiées à tout moment par la SOCIÉTÉ Electro Hadj Kacem, et il appartient au CLIENT de les consulter et de les accepter formellement avant toute commande.   * PRIX DES PRODUITS : Les prix des produits sont valables tant qu'ils sont visibles sur le site et l’article est encore disponible en stock, et sont sous-entendus en Dinars Tunisien TND (toutes taxes comprises). Ces prix peuvent faire l’objet d’une modification (baisse ou augmentation) par la SOCIÉTÉ Electro Hadj Kacem.   * COMMANDE DES PRODUITS : La disponibilité des produits est affichée sur le site electrohadjkacem.com, sur chaque fiche produit. Si un produit est indisponible, la mention « En rupture de stock » sera affichée sur la fiche produit. Si postérieurement à votre commande un produit deviendrait indisponible, la société Electro Hadj Kacem vous informera par email de cette indisponibilité et vous donnera la possibilité de choisir entre : - vous faire livrer un produit d’une qualité et d’un prix équivalent à celui commandé antérieurement ; - annuler votre commande antérieure   * MODALITES DE PASSATION DES COMMANDES Pour passer une commande sur le site electrohadjkacem.com, les variantes suivantes sont possibles : - Via le site Internet electrohadjkacem.com 24/24h et 7/7j, sauf en cas d’indisponibilité du site Internet pour des raisons techniques. - Par téléphone (94.117.117) : de lundi à Samedi de 09h à 19h, excepté les jours fériés et les jours de fêtes religieuses. Toute commande adressée à https://electrohadjkacem.com/ par courrier ou par fax ne pourra être prise en compte.    * ENREGISTREMENT DES COMMANDES : Après avoir passé votre commande, la société Electro Hadj Kacem en accusera réception en vous adressant un email de Confirmation de Commande comprenant le récapitulatif de votre commande, puis, la validera définitivement après vous avoir appelé au téléphone sur le numéro fourni lors de votre Inscription pour une confirmation, dans un délai de 24h ouvrables.    * CONDITIONS GENERALES : La société Electro Hadj Kacem vous propose différents services de livraison directement à votre domicile, sur votre lieu de travail ou dans un point retrait, et ces livraisons s’effectuent exclusivement sur le territoire Tunisien.   * ABSENCE DU DESTINATAIRE A LA LIVRAISON : En cas d’absence du destinataire à la livraison, le service de Transport effectuera encore deux tentatives de livraison. Après trois tentatives infructueuses, la commande sera annulée. * DROITS DU CLIENT Pour toute réclamation ou information, le CLIENT peut s’adresser aux différents services de la société Electro Hadj Kacem - Service Clients : le service Clients du site internet de vente en ligne est joignable par téléphone 94.117.117 de lundi à samedi, de 09h à 19h, excepté les jours fériés, ou par e-mail à l’adresse suivante : electrohadjkacem@planet.tn - service après-vente : dans l’hypothèse d’une panne du produit acheté sur le site, vous pouvez joindre le SAV (service après-vente) ou par e-mail à l’adresse suivante : electrohadjkacem@planet.tn (exclusivement de sav)   * RESPONSABILITE La société Electro Hadj Kacem ne saurait être tenue pour responsable de l'inexécution d’une de ses obligations issues du contrat de vente dès lors que cette inexécution est liée à la survenance d'un événement de force majeure.   * LOI APPLICABLE L'exécution et l'interprétation des Conditions Générales de Vente sont régies par les lois de la République Tunisienne   * REGLEMENT DES DIFFERENDS Les Parties s'efforcent de résoudre à l'amiable tout différend auquel donnerait lieu le CONTRAT, tant en ce qui concerne sa validité, son exécution, son interprétation, sa résiliation qu'en ce qui en est la conséquence. Tout différend est dûment notifié par la Partie requérante à l'autre Partie en se référant expressément au présent Article, et les Parties disposent d'un délai de soixante (60) jours pour tenter de régler le différend à l'amiable, à compter de la date de réception de ladite notification. Tout différend et/ou litige de toute nature pouvant survenir à l’occasion de l’interprétation ou de l’exécution du CONTRAT et qui n’aurait pu être réglé à l’amiable sera soumis au tribunal de Tunis.   * MODIFICATION Les présentes Conditions Générales de Vente sont susceptibles d’être modifiées à tout moment par la SOCIETE Electro Hadj Kacem. Il vous appartient de les consulter et de les accepter formellement avant toute commande.";;Information
Panier;Panier;;;[woocommerce_cart];[woocommerce_cart];;Information
"Validation de la commande";"Validation de la commande";;;[woocommerce_checkout];[woocommerce_checkout];;Information
"Mon compte";"Mon compte";;;[woocommerce_my_account];[woocommerce_my_account];;Information
"Politique en matière de remboursements et de retours";"Politique en matière de remboursements et de retours";;;"Politique de retours : **  Pour retourner vos produits chez Electro Hadj Kacem : Veuillez demander le retour de vos articles en contactant notre service clientèle sur la rubrique contactez-nous : **  Le délai de retour chez Electro Hadj Kacem : Electro Hadj Kacem vous assure que vous pouvez retourner votre produit dans la plupart des cas dans les 10 jours. **  les conditions pour retourner un produit et quelle est la procédure : Lorsque vous retournez votre article, il doit être rendu à Electro Hadj Kacem dans les mêmes conditions que lorsqu’il vous a été livré, et avec tous ses accessoires. **  Une fois que j’ai effectué ma demande de retour, quelles sont les étapes suivantes ? =&gt;Si vous avez choisi qu’Electro Hadj Kacem récupère l’article, un Agent vous contactera pour venir le chercher à l’adresse de livraison indiquée. Il y aura 3 tentatives pour récupérer l’article. =&gt;Si vous avez choisi de retourner l’article vous-même, veuillez déposer l’article chez boutique Electro Hadj Kacem ** Que se passe-t-il si je rate les 3 tentatives de récupération de mon article ? Votre demande de retour sera annulée et il ne vous sera plus possible de retourner votre article. **  Puis-je retourner mon article après 10 jours ? Vous ne pouvez pas retourner votre article passé les 10 jours qui suivent la livraison. Cependant, si votre article est défectueux, il est possible qu’il soit couvert par une garantie et un service après vente. Pour plus d’informations, veuillez contactez notre service clientèle sur la rubrique contactez-nous. **  Est ce qu’il faut retourner tous les articles de ma commande si je souhaite effectuer un retour ? Non … Vous n’avez pas à retourner la commande totale. Vous pouvez choisir de retourner seulement certains articles. Néanmoins, tous les accessoires de l'article en question doivent être retournés, sinon la demande sera rejetée. **  Est-ce qu’il faut payer les frais de transport pour effectuer un retour ? Non, il n’y a aucun frais supplémentaire lorsque vous souhaitez retourner un produit. **  Puis-je échanger mon article plutôt que d’être remboursé ? Oui, suite à votre demande retour … vous pouvez choisir d’échanger votre article plutôt que d’être remboursé **  Comment suivre l’avancée de mon retour ? Notre service retour vous contactera par mail et par SMS pour vous informer de l’avancée de votre retour. **  pourquoi ma demande retour est refusée ? Si votre retour est refusé, L’équipe après vente Electro Hadj Kacem vous contactera pour vous expliquer la raison de refus et votre produit vous sera renvoyé. Politique de remboursement : **  une fois que mon retour est accepté : comment et quand je serai remboursé ? Le délai de remboursement est entre 7 et 14 jours qui suivent la demande de retour. En cas de retour, nous remboursons selon votre choix au moment de la demande de retour à savoir en bon d'achat ou par virement. Il est impératif de disposer d’un RIB à 20 chiffres Le RIB doit correspondre au nom de l’acheteur **  Electro Hadj Kacem me dit que le virement bancaire a été effectué mais je n’ai toujours pas reçu l’argent, que dois-je faire ? Cela prend 2 à 5 jours pour que l’argent apparaisse sur votre compte. N’hésitez pas à contactez-nous si vous n’avez toujours pas reçu votre argent après ce délai. Veuillez consulter notre politique de remboursement pour plus de détails.";"Politique de retours : **  Pour retourner vos produits chez Electro Hadj Kacem : Veuillez demander le retour de vos articles en contactant notre service clientèle sur la rubrique contactez-nous : **  Le délai de retour chez Electro Hadj Kacem : Electro Hadj Kacem vous assure que vous pouvez retourner votre produit dans la plupart des cas dans les 10 jours. **  les conditions pour retourner un produit et quelle est la procédure : Lorsque vous retournez votre article, il doit être rendu à Electro Hadj Kacem dans les mêmes conditions que lorsqu’il vous a été livré, et avec tous ses accessoires. **  Une fois que j’ai effectué ma demande de retour, quelles sont les étapes suivantes ? =&gt;Si vous avez choisi qu’Electro Hadj Kacem récupère l’article, un Agent vous contactera pour venir le chercher à l’adresse de livraison indiquée. Il y aura 3 tentatives pour récupérer l’article. =&gt;Si vous avez choisi de retourner l’article vous-même, veuillez déposer l’article chez boutique Electro Hadj Kacem ** Que se passe-t-il si je rate les 3 tentatives de récupération de mon article ? Votre demande de retour sera annulée et il ne vous sera plus possible de retourner votre article. **  Puis-je retourner mon article après 10 jours ? Vous ne pouvez pas retourner votre article passé les 10 jours qui suivent la livraison. Cependant, si votre article est défectueux, il est possible qu’il soit couvert par une garantie et un service après vente. Pour plus d’informations, veuillez contactez notre service clientèle sur la rubrique contactez-nous. **  Est ce qu’il faut retourner tous les articles de ma commande si je souhaite effectuer un retour ? Non … Vous n’avez pas à retourner la commande totale. Vous pouvez choisir de retourner seulement certains articles. Néanmoins, tous les accessoires de l'article en question doivent être retournés, sinon la demande sera rejetée. **  Est-ce qu’il faut payer les frais de transport pour effectuer un retour ? Non, il n’y a aucun frais supplémentaire lorsque vous souhaitez retourner un produit. **  Puis-je échanger mon article plutôt que d’être remboursé ? Oui, suite à votre demande retour … vous pouvez choisir d’échanger votre article plutôt que d’être remboursé **  Comment suivre l’avancée de mon retour ? Notre service retour vous contactera par mail et par SMS pour vous informer de l’avancée de votre retour. **  pourquoi ma demande retour est refusée ? Si votre retour est refusé, L’équipe après vente Electro Hadj Kacem vous contactera pour vous expliquer la raison de refus et votre produit vous sera renvoyé. Politique de remboursement : **  une fois que mon retour est accepté : comment et quand je serai remboursé ? Le délai de remboursement est entre 7 et 14 jours qui suivent la demande de retour. En cas de retour, nous remboursons selon votre choix au moment de la demande de retour à savoir en bon d'achat ou par virement. Il est impératif de disposer d’un RIB à 20 chiffres Le RIB doit correspondre au nom de l’acheteur **  Electro Hadj Kacem me dit que le virement bancaire a été effectué mais je n’ai toujours pas reçu l’argent, que dois-je faire ? Cela prend 2 à 5 jours pour que l’argent apparaisse sur votre compte. N’hésitez pas à contactez-nous si vous n’avez toujours pas reçu votre argent après ce délai. Veuillez consulter notre politique de remboursement pour plus de détails.";;Information
"Liste de souhaits";"Liste de souhaits";;;[yith_wcwl_wishlist];[yith_wcwl_wishlist];;Information
Compare;Compare;;;[wcboost_compare];[wcboost_compare];;Information
Wishlist;Wishlist;;;[wcboost_wishlist];[wcboost_wishlist];;Information
Blog;Blog;;;;;;Information
Promotions;Promotions;;;"CLOTHES THAT YOU LIKE Promotions 24 Nov - 2 Dec Apple Shopping Event Read More 10 Nov - 28 Nov Pre-Order Google Pixel 7 Read More 10 Nov - 28 Nov Discount on all Smart appliances up to 25% Read More 20 oct - 05 nov New Aurora Headset Read More 15 oct - 25 oct DualSense Discount Read More 12 oct - 20 oct Gift Photo paper for instant cameras Read More 10 oct - 18 oct Discount Nothing phone 1 Read More 27 sep - 15 oct Discount Xiaomi mi 11 Read More 25 Sep - 10 oct Discount for new 7000 processors Read More Online store of household appliances and electronics Then the question arises: where’s the content? Not there yet? That’s not so bad, there’s dummy copy to the rescue. But worse, what if the fish doesn’t fit in the can, the foot’s to big for the boot? Or to small? To short sentences, to many headings, images too large for the proposed design, or too small, or they fit in but it looks iffy for reasons.A client that's unhappy for a reason is a problem, a client that's unhappy though he or her can't quite put a finger on it is worse. Chances are there wasn't collaboration, communication, and checkpoints, there wasn't a process agreed upon or specified with the granularity required. It's content strategy gone awry right from the start. If that's what you think how bout the other way around? How can you evaluate content without design? No typography, no colors, no layout, no styles, all those things that convey the important signals that go beyond the mere textual, hierarchies of information, weight, emphasis, oblique stresses, priorities, all those subtle cues that also have visual and emotional appeal to the reader. Read More";"CLOTHES THAT YOU LIKE Promotions 24 Nov - 2 Dec Apple Shopping Event Read More 10 Nov - 28 Nov Pre-Order Google Pixel 7 Read More 10 Nov - 28 Nov Discount on all Smart appliances up to 25% Read More 20 oct - 05 nov New Aurora Headset Read More 15 oct - 25 oct DualSense Discount Read More 12 oct - 20 oct Gift Photo paper for instant cameras Read More 10 oct - 18 oct Discount Nothing phone 1 Read More 27 sep - 15 oct Discount Xiaomi mi 11 Read More 25 Sep - 10 oct Discount for new 7000 processors Read More Online store of household appliances and electronics Then the question arises: where’s the content? Not there yet? That’s not so bad, there’s dummy copy to the rescue. But worse, what if the fish doesn’t fit in the can, the foot’s to big for the boot? Or to small? To short sentences, to many headings, images too large for the proposed design, or too small, or they fit in but it looks iffy for reasons.A client that's unhappy for a reason is a problem, a client that's unhappy though he or her can't quite put a finger on it is worse. Chances are there wasn't collaboration, communication, and checkpoints, there wasn't a process agreed upon or specified with the granularity required. It's content strategy gone awry right from the start. If that's what you think how bout the other way around? How can you evaluate content without design? No typography, no colors, no layout, no styles, all those things that convey the important signals that go beyond the mere textual, hierarchies of information, weight, emphasis, oblique stresses, priorities, all those subtle cues that also have visual and emotional appeal to the reader. Read More";;Information
