REF;"TITRE UK";"CHAPO UK";"CHAPO FR";"DESCRIPTIF UK";"DESCRIPTIF FR";"POSTSCRIPTUM UK";"POSTSCRIPTUM FR";PRIX;PRIX2;PHOTO;BRAND;"COULEUR UK";"MATERIAL UK";"CONTENT UK";CATEGORIE
PC01;;;"Porte chaussures PM PVC 2 portes + 1 tiroirs stockage de 18 paires. Dimensions Porte chaussures PM PVC  2P + 1T :        H.100 – L.69 – P.35";;"Porte chaussures PM PVC 2 portes + 1 tiroirs stockage de 18 paires. Dimensions Porte chaussures PM PVC  2P + 1T :        H.100 – L.69 – P.35";;;329.0000;;porte-chaussures-pm-pvc.jpg;SOTUFAB;;;;"MEUBLES;MEUBLES/Porte chaussures"
PC26CB;;;"Porte chaussures Classique Sotufab PC26CB/MO - 12 paires - Mosaico";;"Porte chaussures Classique Sotufab PC26CB/MO - 12 paires - Mosaico";;;239.0000;;porte-chaussure-pc26cb.jpg;SOTUFAB;;;;"MEUBLES;MEUBLES/Porte chaussures"
PC27CB;;;"Porte chaussures BANQUETTE stockage de 09 paires. Dimensions Porte chaussures BANQUETTE  :        H.50 – L.65 – P.30";;"Porte chaussures BANQUETTE stockage de 09 paires. Dimensions Porte chaussures BANQUETTE  :        H.50 – L.65 – P.30";;;199.0000;;porte-chaussure-banquette-pc27cb.jpg;SOTUFAB;;;;"MEUBLES;MEUBLES/Porte chaussures"
PC05CB;;;"Porte Chaussures SOTUFAB GM PVC - 3 portes + 1 tiroir - Parfait pour l'arrangement de vos chaussures et permet de ranger - Belle décoration de votre entrée et également recevoir vos amis en toute tranquillité - Dimensions: 140 x 70 x 35 cm - Couleur: Chêne Brut";;"Porte Chaussures SOTUFAB 3P+1T - Chêne Brut Découvrez notre sélection en ligne de porte-chaussures de qualité supérieure de la marque SOTUFAB, offrant une solution élégante et pratique pour organiser votre collection de chaussures en Tunisie. Conçus avec soin pour allier fonctionnalité et esthétique, nos porte-chaussures SOTUFAB sont l'accessoire parfait pour garder votre entrée ou votre dressing bien rangé et ordonné. Explorez dès maintenant notre gamme variée de porte-chaussures SOTUFAB, où vous trouverez des modèles adaptés à tous les besoins et à tous les styles de décoration intérieure tels que la Porte Chaussures SOTUFAB 3P+1T - Chêne Brut . Si vous recherchez un porte-chaussures Chêne brut, robuste et élégant, optez pour de la collection SOTUFAB la Porte chaussure PC05CB chez ELECTRO HADJ KACEM. Avec leur design moderne et leur qualité de fabrication irréprochable, nos porte-chaussures SOTUFAB vous permettront de mettre en valeur votre espace tout en gardant vos chaussures soigneusement rangées et accessibles.";;;429.0000;;Porte-Chaussures-SOTUFAB-3P1T-Chene-Brut.jpg;SOTUFAB;"Chêne brut";;;"MEUBLES;MEUBLES/Porte chaussures"
50A6103UW;;;"Téléviseur HISENSE 50""  LED ULTRA HD 4K SMART TV  - Récepteur intégré  - Couleur Gris - Garantie 3 ans";;"Téléviseur HISENSE 50"" (126 cm) LED ULTRA HD 4K SMART TV - Récepteur intégré - Résolution: 3840 x 2160 pixels - Luminosité: 275 cd/m² - Sortie Haut-Parleurs: 2 - Tuner: Digital DVB-T2 Ready - Connectivité: WiFi - Connecteurs: 3 x HDMI, 2 x USB 2.0, 1 x Ethernet RJ 45, 1 x Sortie Audio/Casque - Garantie 3 ans";;;1649.0000;;led-hisense-50a6103uw.jpg;HISENSE;;;;"ÉLECTRONIQUE/TÉLÉVISEUR/SMART TV;ÉLECTRONIQUE/TÉLÉVISEUR;ÉLECTRONIQUE"
FH4G7QDY5;;;"Lave linge Frontale LG en tunisie - Capacité de lavage : 7 Kg - Vitesse d'essorage : 1400 tours/min - Classe énergétique : A+++ - Afficheur LED - Redémarrage automatique - Vapeur de spa - 6 Motion - Dimensions : 600 x 550 x 850 mm - Couleur : Silver - Garantie: 3 ans";;"Machine à laver Automatique LG en tunisie FH4G7QDY5 * 99,9% D’ALLERGÈNES RÉDUITS grâce à la vapeur * Design élégant et interface utilisateur tactile conviviale * Récompensé et éprouvé * Technologie Inverter DD pour un lavage puissant avec moins de bruit * LAVAGE OPTIMAL des tissus grâce au 6 Motion Direct Drive Caractéristiques du machine à laver FH4G7QDY5 - Capacité de lavage : 7 Kg - Vitesse d'essorage : 1400 tours/min - Classe énergétique : A+++ - Afficheur LED - Redémarrage automatique - Vapeur de spa - 6 Motion - Dimensions : 600 x 550 x 850 mm - Couleur : Silver - Garantie: 3 ans.";;;1929.0000;;"FH4G7QDY5.png;FH4G7QDY5.png";LG;;;;"Gros Électroménager/MACHINE À LAVER/Machine À Laver Frontale;Gros Électroménager/MACHINE À LAVER;Gros Électroménager"
A32F1HB2;;;"Téléviseur LED VEGA 32"" en tunisie : - Ecran 32”- Résolution d’affichage 1366*768-  Brillance 180cd/m2 -  Contraste 3000:1-  Aspect Ratio 16:9-  Maximum Colors 16.7M-  Response time 8.5ms-  Port USB  x 1-  Ports HDMI x 3-  AV Input &amp;R,L-  Connecteur Coaxial x 1-  Entrée RF - Garantie : 3 ans";;"Téléviseur LED VEGA 32"" - A32F1HB1 - en Tunisie - Ecran 32” - Résolution d’affichage 1366*768 -  Brillance 180cd/m2 -  Contraste 3000:1 -  Aspect Ratio 16:9 -  Maximum Colors 16.7M -  Response time 8.5ms -  Port USB  x 1 -  Ports HDMI x 3 -  AV Input &amp;R,L -  Connecteur Coaxial x 1 -  Entrée RF - Garantie : 3 ans";;;599.0000;;televiseur-led-vega-32-l32f1hb2-garantie-3-ans.jpg;VEGA;;;;"ÉLECTRONIQUE/TÉLÉVISEUR/LED TV;ÉLECTRONIQUE/TÉLÉVISEUR;ÉLECTRONIQUE"
WA12J5730SS;;;"Machine à laver SAMSUNG en tunisie Dual Wash Top - Capacité de lavage: 12 kg - Vitesse d'essorage: 700 Tours - Technologie Wobble - Jet d'eau - Distributeur magique - Filtre magique - Classe énergétique: A+ - Dimension: 610 x 1105 x 675 mm - Poids: 44 kg - Couleur Silver - Garantie: 2 ans";;"Machine à laver SAMSUNG WA12J5730SS en tunisie - Dual Wash Top - Capacité de lavage: 12 kg - Vitesse d'essorage: 700 Tours - Technologie Wobble - Jet d'eau - Distributeur magique - Filtre magique - Classe énergétique: A+ - Dimension: 610 x 1105 x 675 mm - Poids: 44 kg - Couleur Silver - Garantie: 2 ans";;;1909.0000;;machine-a-laver-samsung-12kg-top-silver-garantie-2-ans.jpg;Samsung;;;;"Gros Électroménager/MACHINE À LAVER/Machine À Laver Top;Gros Électroménager/MACHINE À LAVER;Gros Électroménager"
WA14J5730SS;;;"Réf: WA14J5730SS  - Capacité: 14 kg -  Couleur Silver";;"Machine à Laver SAMSUNG Dualwash Top - Capacité de lavage: 14 kg - Vitesse d'essorage: 700 Tours - Classe énergétique: A+  9 Programmes - Panneau: Dual Cluster - Niveau d'eau: niveaux 10 - 2ème tambour de diamant - Dual wash - Distributeur magique - lavage rapide - rinçage - essorage - Couleur: Silver - Garantie : 2 ans ";;;2049.0000;;machine-a-laver-samsung-top-load-14kg-silver-wa14j5730ss-garantie-2-ans.jpg;Samsung;;;;"Gros Électroménager/MACHINE À LAVER/Machine À Laver Top;Gros Électroménager/MACHINE À LAVER;Gros Électroménager"
"Téléviseur VEGA 32"" L32F1HBS";;;"Vega Téléviseur 32"" HD LED - Smart - Noir - Garantie 3 ans";;"Vega Téléviseur 32"" HD LED - Smart - Noir - Garantie 3 ans Ecran :32’’ Aspect (ratio) :16:9 Résolution :1366*768 Brillance :200cd/m2 Contraste:3000 :1 Garantie 3 ans Puissance de haut-parleur :2 x 8 Watts Smart:OUI OS:Anrdoid 7.0 RAM:1 GB Stockage:8 Go Connecteurs :1xATV+DBV-C/T/T2, 1x AV Input&amp;RL, 3 x USB, 3 x HDMI, 1x VGA, 1 x Coaxial, 1 x RCA (Audio/Vidéo) Temps de réponse :6.5 ms YPrPb : 480ip,576i/p,720i/p,1080i/p Couleur : Noir";;;569.0000;;televiseur-vega-32-l32f1hbs.jpg;VEGA;;;;"ÉLECTRONIQUE/TÉLÉVISEUR/LED TV;ÉLECTRONIQUE/TÉLÉVISEUR;ÉLECTRONIQUE"
WW80J5555FX;;;"Réf: WW80J5555FX  - Capacité 8 Kg - Vitesse d'essorage 1400 trs/min - Ecran LED - Classe énergétique A+++ - Technologie Eco Bubble - 12 programmes - Dimensions: 600 x 550 x 850 mm- Garantie 2 ans";;"Machine à Laver SAMSUNG Frontale Automatique  - Capacité de lavage: 8 kg  - Vitesse d'essorage: 1200 tours/min  - Classe  énergétique:  A+++  -Affichage: LED  - Technologie Eco Bubble - Type de chargement: chargement frontal - Nombre de Programmes : 14 Programmes  - Fonctions: Verrouillage des enfants, Demi-charge, Lavage rapide, Départ différé  - Niveau sonore Lavage: 62 dbA - Niveau sonore essorage: 76 dbA - Dimensions: 600 x 850 x 550 mm - Poids: 64 kg - Couleur: Inox - Garantie: 2 ans";;;1899.0000;;machine-a-laver-samsung-frontale-8kg-eco-bubble-silver-ww80j5555fx-garantie-2-ans.jpg;Samsung;;;;"Gros Électroménager/MACHINE À LAVER/Machine À Laver Frontale;Gros Électroménager/MACHINE À LAVER;Gros Électroménager"
"Téléviseur VEGA 40"" L40F1HB2";;;"Téléviseur VEGA 40"" LED HD, Résolution: 1366 x 768  pixels, Rapport de contraste: 3000:1, Aspect Ratio: 16:9, Luminosité: 220 cd/m², Angle de Vision: 178° H/178° V, Temps de Réponse: 8.5 ms, Maximum colors 16.7M, Connecteurs: 3x HDMI - 1x VGA - 1x USB, Couleur: Noir, Garantie: 3 ans";;"Téléviseur VEGA 40"" LED HD  - Résolution: 1366 x 768  pixels  - Rapport de contraste: 3000:1 - Aspect Ratio: 16:9 - Luminosité: 220 cd/m² - Angle de Vision: 178° H/178° V - Temps de Réponse: 8.5 ms  - Maximum colors 16.7M - Connecteurs: 3x HDMI - 1x VGA - 1x USB  - Couleur: Noir  - Garantie: 3 ans";;;749.0000;;televiseur-vega-40-l40f1hb2.jpg;VEGA;;;;"ÉLECTRONIQUE/TÉLÉVISEUR/LED TV;ÉLECTRONIQUE/TÉLÉVISEUR;ÉLECTRONIQUE"
WA16J6730SS;;;"Capacité : 16 kg Vitesse d’essorage : 700 tours 9 programmes  Dimension: 108 x 63 x 69 cm";;"Machine à Laver SAMSUNG Dualwash Top  - Capacité de lavage: 16 kg  -Vitesse d'essorage: 700 Tours  - Classe énergétique: A+  - 9 Programmes  - Panneau: Dual Cluster - Niveau d'eau: niveaux 10  - 2ème tambour de diamant - Dual wash  - Distributeur magique - lavage rapide - rinçage - essorage  - Dimension: 630 x 1080 x 690 mm  - Couleur: Silver  - Garantie : 2 ans ";;;2449.0000;;machine-a-laver-samsung-top-load-16kg-silver-wa16j6730ss-garantie-2-ans.jpg;Samsung;;;;"Gros Électroménager/MACHINE À LAVER/Machine À Laver Top;Gros Électroménager/MACHINE À LAVER;Gros Électroménager"
