id;locale;alt;title;description;chapo;postscriptum
1;fr_FR;"Machine À Laver Frontale";"Machine À Laver Frontale LG";;;
1;ar_AR;"Machine À Laver Frontale";"Machine À Laver Frontale LG";;;
2;fr_FR;"Réfrigérateur Combiné HOOVER HOCE4T618EB";"Réfrigérateur Combiné HOOVER HOCE4T618EB";;;
2;ar_AR;"Réfrigérateur Combiné HOOVER HOCE4T618EB";"Réfrigérateur Combiné HOOVER HOCE4T618EB";;;
3;fr_FR;;;;;
3;ar_AR;;;;;
4;fr_FR;;;;;
4;ar_AR;;;;;
5;fr_FR;;;;;
5;ar_AR;;;;;
6;fr_FR;;;;;
6;ar_AR;;;;;
7;fr_FR;WALKING;WALKING;;;
7;ar_AR;WALKING;WALKING;;;
8;fr_FR;FOREST;FOREST;;;
8;ar_AR;FOREST;FOREST;;;
9;fr_FR;CURIOSITY;CURIOSITY;;;
9;ar_AR;CURIOSITY;CURIOSITY;;;
10;fr_FR;"BE UNIQUE";"BE UNIQUE";;;
10;ar_AR;"BE UNIQUE";"BE UNIQUE";;;
11;fr_FR;VAPE;VAPE;;;
11;ar_AR;VAPE;VAPE;;;
12;fr_FR;GALACTIC;GALACTIC;;;
12;ar_AR;GALACTIC;GALACTIC;;;
13;fr_FR;WALKING;WALKING;;;
13;ar_AR;WALKING;WALKING;;;
14;fr_FR;FOREST;FOREST;;;
14;ar_AR;FOREST;FOREST;;;
15;fr_FR;CURIOSITY;CURIOSITY;;;
15;ar_AR;CURIOSITY;CURIOSITY;;;
16;fr_FR;"BE UNIQUE";"BE UNIQUE";;;
16;ar_AR;"BE UNIQUE";"BE UNIQUE";;;
17;fr_FR;VAPE;VAPE;;;
17;ar_AR;VAPE;VAPE;;;
18;fr_FR;GALACTIC;GALACTIC;;;
18;ar_AR;GALACTIC;GALACTIC;;;
